MATCHID,ROUND,HOME_TEAM_ID,HOME_TEAM,AWAY_TEAM_ID,AWAY_TEAM,SCORE_STR,STATUS
2486447,22,979989,HLA ALICANTE,981300,HESTIA MENORCA,58-76,PLAYED
2486448,22,979920,GRUPO URETA TIZONA BURGOS,981124,ALIMERKA OVIEDO BALONCESTO,82-89,PLAYED
2486449,22,980004,LEYMA CORUNA,981431,MOVISTAR ESTUDIANTES,105-82,PLAYED
2486451,22,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,981215,PALMER BASKET MALLORCA PALMA,66-82,PLAYED
2486452,22,981493,CLOUD.GAL OURENSE BALONCESTO,981214,FIBWI MALLORCA BASQUET PALMA,81-69,PLAYED
2486453,22,981343,SUPER AGROPAL PALENCIA,981525,FLEXICAR FUENLABRADA,97-74,PLAYED
2486454,22,981125,CAJA RURAL CB ZAMORA,981203,INVEREADY GIPUZKOA,70-101,PLAYED
2486455,22,979769,MELILLA CIUDAD DEL DEPORTE,979907,GRUPO ALEGA CANTABRIA,83-77,PLAYED
2486456,23,981214,FIBWI MALLORCA BASQUET PALMA,979907,GRUPO ALEGA CANTABRIA,68-73,PLAYED
2486457,23,981215,PALMER BASKET MALLORCA PALMA,979920,GRUPO URETA TIZONA BURGOS,88-72,PLAYED
2486458,23,980004,LEYMA CORUNA,979989,HLA ALICANTE,83-74,PLAYED
2486459,23,981203,INVEREADY GIPUZKOA,981493,CLOUD.GAL OURENSE BALONCESTO,81-79,PLAYED
2486460,23,981431,MOVISTAR ESTUDIANTES,981300,HESTIA MENORCA,85-78,PLAYED
2486461,23,981525,FLEXICAR FUENLABRADA,981421,MONBUS OBRADOIRO,77-97,PLAYED
2486462,23,981124,ALIMERKA OVIEDO BALONCESTO,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,92-80,PLAYED
2486463,23,981343,SUPER AGROPAL PALENCIA,981125,CAJA RURAL CB ZAMORA,77-66,PLAYED
2486465,24,981214,FIBWI MALLORCA BASQUET PALMA,979989,HLA ALICANTE,MIÉRCOLES11/03/202620:00,PENDING
